,from_aggr_zone,to_aggr_zone,product_group,year,amount_tons
259,(L)Ofoten og Vesterålen,Møre og Romsdal,Container (slow),2020,15054.745787008696
260,(L)Ofoten og Vesterålen,Møre og Romsdal,Container (slow),2025,17472.89540565933
261,(L)Ofoten og Vesterålen,Møre og Romsdal,Container (slow),2030,20284.664492640815
262,(L)Ofoten og Vesterålen,Møre og Romsdal,Container (slow),2040,24685.418575984142
263,(L)Ofoten og Vesterålen,Møre og Romsdal,Container (slow),2050,29439.283096580348
264,(L)Ofoten og Vesterålen,Møre og Romsdal,Dry bulk,2018,469649.00613228226
265,(L)Ofoten og Vesterålen,Møre og Romsdal,Dry bulk,2020,464027.76449193596
266,(L)Ofoten og Vesterålen,Møre og Romsdal,Dry bulk,2025,518961.09865293093
267,(L)Ofoten og Vesterålen,Møre og Romsdal,Dry bulk,2030,580519.4285832617
268,(L)Ofoten og Vesterålen,Møre og Romsdal,Dry bulk,2040,588131.333307871
269,(L)Ofoten og Vesterålen,Møre og Romsdal,Dry bulk,2050,636147.3027615043
270,(L)Ofoten og Vesterålen,Møre og Romsdal,Liquid bulk,2018,21.2372113953401
271,(L)Ofoten og Vesterålen,Møre og Romsdal,Liquid bulk,2020,20.8081063672473
272,(L)Ofoten og Vesterålen,Møre og Romsdal,Liquid bulk,2025,22.8462665727753
273,(L)Ofoten og Vesterålen,Møre og Romsdal,Liquid bulk,2030,25.0840651764391
274,(L)Ofoten og Vesterålen,Møre og Romsdal,Liquid bulk,2040,24.0873863748916
275,(L)Ofoten og Vesterålen,Møre og Romsdal,Liquid bulk,2050,27.1627497010889
276,(L)Ofoten og Vesterålen,Møre og Romsdal,Neo bulk,2018,206.8497147275024
277,(L)Ofoten og Vesterålen,Møre og Romsdal,Neo bulk,2020,207.77786629334452
278,(L)Ofoten og Vesterålen,Møre og Romsdal,Neo bulk,2025,239.189037797134
279,(L)Ofoten og Vesterålen,Møre og Romsdal,Neo bulk,2030,275.5496136357033
280,(L)Ofoten og Vesterålen,Møre og Romsdal,Neo bulk,2040,300.3474067467185
281,(L)Ofoten og Vesterålen,Møre og Romsdal,Neo bulk,2050,339.82296215615673
282,(L)Ofoten og Vesterålen,Nordland,Break bulk (fast),2018,39464.76927197897
283,(L)Ofoten og Vesterålen,Nordland,Break bulk (fast),2020,36970.10284287855
284,(L)Ofoten og Vesterålen,Nordland,Break bulk (fast),2025,42077.33139013756
285,(L)Ofoten og Vesterålen,Nordland,Break bulk (fast),2030,47978.406645065676
286,(L)Ofoten og Vesterålen,Nordland,Break bulk (fast),2040,58169.717239152546
287,(L)Ofoten og Vesterålen,Nordland,Break bulk (fast),2050,66044.79462720848
288,(L)Ofoten og Vesterålen,Nordland,Break bulk (slow),2018,31849.686154648523
