,path,product,time_period,weight,scenario
8754,"[('Skien', 'Stavanger', 'Sea', 1)]",Dry bulk,2040,14.578714153868352,AVG22
8755,"[('Skien', 'Stavanger', 'Sea', 1)]",Fish,2040,0.9655735727560592,AVG22
8756,"[('Skien', 'Stavanger', 'Sea', 1)]",General cargo,2040,20.791106728544463,AVG22
8757,"[('Skien', 'Stavanger', 'Sea', 1)]",Industrial goods,2040,7.623555010629653,AVG22
8758,"[('Skien', 'Stavanger', 'Sea', 1)]",Other thermo,2040,2.387562217693158,AVG22
8759,"[('Skien', 'Stavanger', 'Sea', 1)]",Wet bulk,2040,22.46048763830861,AVG22
8760,"[('Skien', 'Stavanger', 'Sea', 1)]",Dry bulk,2050,15.462272919561322,AVG22
8761,"[('Skien', 'Stavanger', 'Sea', 1)]",Fish,2050,1.14202472334051,AVG22
8762,"[('Skien', 'Stavanger', 'Sea', 1)]",General cargo,2050,23.16391655090867,AVG22
8763,"[('Skien', 'Stavanger', 'Sea', 1)]",Industrial goods,2050,8.0425709872417,AVG22
8764,"[('Skien', 'Stavanger', 'Sea', 1)]",Other thermo,2050,2.813799647324024,AVG22
8765,"[('Skien', 'Stavanger', 'Sea', 1)]",Wet bulk,2050,20.35639236636176,AVG22
8766,"[('Bodø', 'Tromsø', 'Sea', 1)]",Dry bulk,2030,30.123641084044582,AVG22
8767,"[('Bodø', 'Tromsø', 'Sea', 1)]",Wet bulk,2030,5.428275624012677,AVG22
8768,"[('Bodø', 'Tromsø', 'Sea', 1)]",Dry bulk,2040,32.89370003868249,AVG22
8769,"[('Bodø', 'Tromsø', 'Sea', 1)]",Fish,2040,2.833377727912039,AVG22
8770,"[('Bodø', 'Tromsø', 'Sea', 1)]",General cargo,2040,44.52774949667165,AVG22
8771,"[('Bodø', 'Tromsø', 'Sea', 1)]",Industrial goods,2040,3.3152643920740417,AVG22
8772,"[('Bodø', 'Tromsø', 'Sea', 1)]",Other thermo,2040,4.158639370105345,AVG22
8773,"[('Bodø', 'Tromsø', 'Sea', 1)]",Timber,2040,1.5356320927451326,AVG22
8774,"[('Bodø', 'Tromsø', 'Sea', 1)]",Wet bulk,2040,4.532023277293309,AVG22
8775,"[('Bodø', 'Tromsø', 'Sea', 1)]",Dry bulk,2050,35.93327819711737,AVG22
8776,"[('Bodø', 'Tromsø', 'Sea', 1)]",Industrial goods,2050,3.5995135221084995,AVG22
8777,"[('Bodø', 'Tromsø', 'Sea', 1)]",Timber,2050,1.6363711806767844,AVG22
8778,"[('Bodø', 'Tromsø', 'Sea', 1)]",Wet bulk,2050,3.73408806036126,AVG22
8779,"[('Tromsø', 'Bodø', 'Sea', 1)]",Dry bulk,2030,28.742093141500302,AVG22
8780,"[('Tromsø', 'Bodø', 'Sea', 1)]",Wet bulk,2030,5.281448099648282,AVG22
8781,"[('Tromsø', 'Bodø', 'Sea', 1)]",Dry bulk,2040,27.073496547856944,AVG22
8782,"[('Tromsø', 'Bodø', 'Sea', 1)]",Fish,2040,1.0083684147675538,AVG22
8783,"[('Tromsø', 'Bodø', 'Sea', 1)]",General cargo,2040,22.914394796538772,AVG22
8784,"[('Tromsø', 'Bodø', 'Sea', 1)]",Industrial goods,2040,1.9544715933944048,AVG22
8785,"[('Tromsø', 'Bodø', 'Sea', 1)]",Other thermo,2040,5.015433288221516,AVG22
8786,"[('Tromsø', 'Bodø', 'Sea', 1)]",Wet bulk,2040,5.404473592424973,AVG22
8787,"[('Tromsø', 'Bodø', 'Sea', 1)]",Dry bulk,2050,27.18880590948084,AVG22
8788,"[('Tromsø', 'Bodø', 'Sea', 1)]",Industrial goods,2050,2.0965300380153393,AVG22
8789,"[('Tromsø', 'Bodø', 'Sea', 1)]",Wet bulk,2050,4.758579402245385,AVG22
8790,"[('Bergen', 'Kristiansand', 'Sea', 1)]",Dry bulk,2020,1.8283762652589002,AVG22
8791,"[('Bergen', 'Kristiansand', 'Sea', 1)]",Fish,2020,0.03417207860694312,AVG22
8792,"[('Bergen', 'Kristiansand', 'Sea', 1)]",General cargo,2020,6.0134314537634985,AVG22
8793,"[('Bergen', 'Kristiansand', 'Sea', 1)]",Industrial goods,2020,4.948890861386457,AVG22
8794,"[('Bergen', 'Kristiansand', 'Sea', 1)]",Other thermo,2020,0.22577584621452387,AVG22
