,paths
118,"[('Oslo', 'Skien', 'Road', 1), ('Skien', 'Oslo', 'Sea', 1), ('Oslo', 'Hamar', 'Road', 1)]"
119,"[('Oslo', 'Skien', 'Road', 1), ('Skien', 'Oslo', 'Sea', 1), ('Oslo', 'Hamar', 'Rail', 1)]"
120,"[('Oslo', 'Skien', 'Road', 1), ('Skien', 'Oslo', 'Rail', 1), ('Oslo', 'Hamar', 'Road', 1)]"
121,"[('Oslo', 'Skien', 'Sea', 1), ('Skien', 'Oslo', 'Road', 1), ('Oslo', 'Hamar', 'Rail', 1)]"
122,"[('Oslo', 'Skien', 'Sea', 1), ('Skien', 'Oslo', 'Rail', 1), ('Oslo', 'Hamar', 'Road', 1)]"
123,"[('Oslo', 'Skien', 'Rail', 1), ('Skien', 'Oslo', 'Road', 1), ('Oslo', 'Hamar', 'Rail', 1)]"
124,"[('Oslo', 'Skien', 'Rail', 1), ('Skien', 'Oslo', 'Sea', 1), ('Oslo', 'Hamar', 'Road', 1)]"
125,"[('Oslo', 'Skien', 'Rail', 1), ('Skien', 'Oslo', 'Sea', 1), ('Oslo', 'Hamar', 'Rail', 1)]"
126,"[('Oslo', 'Ålesund', 'Road', 1)]"
127,"[('Oslo', 'Kristiansand', 'Sea', 1), ('Kristiansand', 'Ålesund', 'Sea', 1)]"
128,"[('Oslo', 'Hamar', 'Rail', 1), ('Hamar', 'Ålesund', 'Rail', 1)]"
129,"[('Oslo', 'Skien', 'Road', 1), ('Skien', 'Ålesund', 'Sea', 1)]"
130,"[('Oslo', 'Hamar', 'Road', 1), ('Hamar', 'Ålesund', 'Rail', 1)]"
131,"[('Oslo', 'Trondheim', 'Sea', 1), ('Trondheim', 'Ålesund', 'Road', 1)]"
132,"[('Oslo', 'Skien', 'Sea', 1), ('Skien', 'Oslo', 'Rail', 1), ('Oslo', 'Hamar', 'Rail', 1), ('Hamar', 'Ålesund', 'Rail', 1)]"
133,"[('Oslo', 'Hamar', 'Rail', 1), ('Hamar', 'Trondheim', 'Rail', 1), ('Trondheim', 'Ålesund', 'Road', 1)]"
134,"[('Oslo', 'Hamar', 'Rail', 1), ('Hamar', 'Trondheim', 'Rail', 2), ('Trondheim', 'Ålesund', 'Road', 1)]"
135,"[('Oslo', 'Skien', 'Rail', 1), ('Skien', 'Ålesund', 'Sea', 1)]"
